Từ vựng,Phát âm,Nghĩa,Chủ đề
Parent,/'peərənt/,Bố hoặc mẹ,Từ vựng về gia đình
Father,/ˈfɑː.ðər/,Bố,Từ vựng về gia đình
Mother,/ˈmʌð.ər/,Mẹ,Từ vựng về gia đình
A child,/tʃaɪld/,Con cái (số ít),Từ vựng về gia đình
Children,/ˈtʃɪl.drən/,Con cái (số nhiều),Từ vựng về gia đình
Son,/sʌn/,Con trai,Từ vựng về gia đình
Daughter,/ˈdɔː.tər/,Con gái,Từ vựng về gia đình
Twin,/twin/,sinh đôi,Từ vựng về gia đình
Triplet,/ˈtrɪp.lət/,sinh ba,Từ vựng về gia đình
Sibling,/ˈsɪb.lɪŋ/,Anh/ chị/ em ruột,Từ vựng về gia đình
Sister,/ˈsɪs.tər/,Chị gái,Từ vựng về gia đình
Brother,/ˈbrʌð.ər/,Anh trai,Từ vựng về gia đình
Husband,/ˈhʌz.bənd/,Chồng,Từ vựng về gia đình
Wife,/waɪf/,Vợ,Từ vựng về gia đình
Grandparent,/ˈɡrænpeərənt/,Ông hoặc bà,Từ vựng về gia đình
Grandmother,/ˈɡrænmʌðə(r)/,Bà ngoại/ bà nội,Từ vựng về gia đình
Grandfather,/ˈɡrænfɑːðə(r)/,Ông ngoại/ ông nội,Từ vựng về gia đình
Grandchild,/ˈɡræn.tʃaɪld/,Cháu,Từ vựng về gia đình
Grandson,/ˈɡræn.sʌn/,Cháu trai,Từ vựng về gia đình
Granddaughter,/ˈɡræn.dɔː.tər/,Cháu gái,Từ vựng về gia đình
Nephew,/ˈnev.juː/,Cháu trai,Từ vựng về gia đình
Niece,/niːs/,Cháu gái,Từ vựng về gia đình
Cousin,/ˈkʌz.ən/,Anh chị em họ,Từ vựng về gia đình
Uncle,/ˈʌŋ.kəl/,Chú/ bác trai/ cậu,Từ vựng về gia đình
Aunt,/ɑːnt/,Cô/ dì/ bác gái,Từ vựng về gia đình
Godfather,/ˈɡɒdˌfɑː.ðər/,Bố đỡ đầu,Từ vựng về gia đình
Godmother,/ˈɡɒdˌmʌð.ər/,Mẹ đỡ đầu,Từ vựng về gia đình
Godson,/ˈɡɒd.sʌn/,Con trai đỡ đầu,Từ vựng về gia đình
Goddaughter,/ˈɡɒdˌdɔː.tər/,Con gái đỡ đầu,Từ vựng về gia đình
